assertion_id	source_file	source_sha256	physical_line	source_literal	branch_guard	row_node	column_node	contribution_expression	upstream_symbol	provenance_class
CTH_ICTH	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	943	                        Icth = *(ckt->CKTstate0 + here->VBICcqcth);	after NIintegrate	N/A	N/A	Icth = *(ckt->CKTstate0 + here->VBICcqcth);	state0 thermal-cap current	official_base_unchanged
CTH_STATE_WB	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1077	                *(ckt->CKTstate0 + here->VBICcqcth)     = Icth;	if (here->VBIC_selfheat) state writeback	N/A	N/A	*(ckt->CKTstate0 + here->VBICcqcth)     = Icth;	Icth writeback	official_base_unchanged
CTH_STATE_WB2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1078	                *(ckt->CKTstate0 + here->VBICicth_Vrth) = Icth_Vrth;	if (here->VBIC_selfheat) state writeback	N/A	N/A	*(ckt->CKTstate0 + here->VBICicth_Vrth) = Icth_Vrth;	Icth_Vrth writeback	official_base_unchanged
CTH_PRED_STATE	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	403	                        *(ckt->CKTstate0 + here->VBICqcth) =	predictor state copy	N/A	N/A	*(ckt->CKTstate0 + here->VBICqcth) =	state0 qcth predictor copy (cont. line 387)	official_base_unchanged
STAMP_GUARD_OPEN	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1338	            if (here->VBIC_selfheat) {	load pass selfheat stamping block	N/A	N/A	if (here->VBIC_selfheat) {	selfheat flag	official_base_unchanged
STAMP_RTH	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1455	                *(here->VBICtempTempPtr) +=  Irth_Vrth;	if (here->VBIC_selfheat) block; Rth element	VBICtempNode	VBICtempNode	*(here->VBICtempTempPtr) +=  Irth_Vrth;	Irth_Vrth = 1/RTH (model line 4004)	official_base_unchanged
STAMP_CTH_RHS_EXPR	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1459	                rhs_current = Icth - Icth_Vrth*Vrth;	if (here->VBIC_selfheat) block; Cth element	N/A	N/A	rhs_current = Icth - Icth_Vrth*Vrth;	Icth (state), Icth_Vrth (geq)	official_base_unchanged
STAMP_CTH_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1460	                *(ckt->CKTrhs + here->VBICtempNode) += -rhs_current;	if (here->VBIC_selfheat) block; Cth element	VBICtempNode	N/A	*(ckt->CKTrhs + here->VBICtempNode) += -rhs_current;	-(Icth - Icth_Vrth*Vrth)	official_base_unchanged
STAMP_CTH_JAC	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1461	                *(here->VBICtempTempPtr) +=  Icth_Vrth;	if (here->VBIC_selfheat) block; Cth element	VBICtempNode	VBICtempNode	*(here->VBICtempTempPtr) +=  Icth_Vrth;	Icth_Vrth = geq	official_base_unchanged
STAMP_ITH_RHS_EXPR1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1465	                rhs_current = -Ith - Ith_Vrth*Vrth	if (here->VBIC_selfheat) block; Ith element	N/A	N/A	rhs_current = -Ith - Ith_Vrth*Vrth	Ith and derivatives (cont. 1425-1429)	official_base_unchanged
STAMP_ITH_RHS_EXPR2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1466	                                   - Ith_Vbei*Vbei - Ith_Vbci*Vbci - Ith_Vcei*Vcei	if (here->VBIC_selfheat) block; Ith element	N/A	N/A	- Ith_Vbei*Vbei - Ith_Vbci*Vbci - Ith_Vcei*Vcei	Ith derivatives	official_base_unchanged
STAMP_ITH_RHS_EXPR3	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1467	                                   - Ith_Vbex*Vbex - Ith_Vbep*Vbep - Ith_Vbcp*Vbcp	if (here->VBIC_selfheat) block; Ith element	N/A	N/A	- Ith_Vbex*Vbex - Ith_Vbep*Vbep - Ith_Vbcp*Vbcp	Ith derivatives	official_base_unchanged
STAMP_ITH_RHS_EXPR4	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1468	                                   - Ith_Vcep*Vcep - Ith_Vrci*Vrci - Ith_Vbcx*Vbcx	if (here->VBIC_selfheat) block; Ith element	N/A	N/A	- Ith_Vcep*Vcep - Ith_Vrci*Vrci - Ith_Vbcx*Vbcx	Ith derivatives	official_base_unchanged
STAMP_ITH_RHS_EXPR5	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1469	                                   - Ith_Vrbi*Vrbi - Ith_Vrbp*Vrbp	if (here->VBIC_selfheat) block; Ith element	N/A	N/A	- Ith_Vrbi*Vrbi - Ith_Vrbp*Vrbp	Ith derivatives	official_base_unchanged
STAMP_ITH_RHS_EXPR6	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1470	                                   - Ith_Vrcx*Vrcx - Ith_Vrbx*Vrbx - Ith_Vre*Vre - Ith_Vrs*Vrs;	if (here->VBIC_selfheat) block; Ith element	N/A	N/A	- Ith_Vrcx*Vrcx - Ith_Vrbx*Vrbx - Ith_Vre*Vre - Ith_Vrs*Vrs;	Ith derivatives	official_base_unchanged
STAMP_ITH_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1472	                *(ckt->CKTrhs + here->VBICtempNode) += rhs_current;	if (here->VBIC_selfheat) block; Ith element	N/A	N/A	*(ckt->CKTrhs + here->VBICtempNode) += rhs_current;	linearized -Ith term	official_base_unchanged
STAMP_ITH_VRTH_JAC	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1474	                *(here->VBICtempTempPtr)   += -Ith_Vrth;	if (here->VBIC_selfheat) block; Ith element	N/A	N/A	*(here->VBICtempTempPtr)   += -Ith_Vrth;	Ith_Vrth	official_base_unchanged
STAMP_ITH_VBEI_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1476	                *(here->VBICtempBaseBIPtr) += -Ith_Vbei;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBINode	*(here->VBICtempBaseBIPtr) += -Ith_Vbei;	-Ith_Vbei	official_base_unchanged
STAMP_ITH_VBEI_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1477	                *(here->VBICtempEmitEIPtr) += +Ith_Vbei;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICemitEINode	*(here->VBICtempEmitEIPtr) += +Ith_Vbei;	+Ith_Vbei	official_base_unchanged
STAMP_ITH_VBCI_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1478	                *(here->VBICtempBaseBIPtr) += -Ith_Vbci;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBINode	*(here->VBICtempBaseBIPtr) += -Ith_Vbci;	-Ith_Vbci	official_base_unchanged
STAMP_ITH_VBCI_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1479	                *(here->VBICtempCollCIPtr) += +Ith_Vbci;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICcollCINode	*(here->VBICtempCollCIPtr) += +Ith_Vbci;	+Ith_Vbci	official_base_unchanged
STAMP_ITH_VCEI_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1480	                *(here->VBICtempCollCIPtr) += -Ith_Vcei;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICcollCINode	*(here->VBICtempCollCIPtr) += -Ith_Vcei;	-Ith_Vcei	official_base_unchanged
STAMP_ITH_VCEI_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1481	                *(here->VBICtempEmitEIPtr) += +Ith_Vcei;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICemitEINode	*(here->VBICtempEmitEIPtr) += +Ith_Vcei;	+Ith_Vcei	official_base_unchanged
STAMP_ITH_VBEX_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1482	                *(here->VBICtempBaseBXPtr) += -Ith_Vbex;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBXNode	*(here->VBICtempBaseBXPtr) += -Ith_Vbex;	-Ith_Vbex	official_base_unchanged
STAMP_ITH_VBEX_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1483	                *(here->VBICtempEmitEIPtr) += +Ith_Vbex;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICemitEINode	*(here->VBICtempEmitEIPtr) += +Ith_Vbex;	+Ith_Vbex	official_base_unchanged
STAMP_ITH_VBEP_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1484	                *(here->VBICtempBaseBXPtr) += -Ith_Vbep;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBXNode	*(here->VBICtempBaseBXPtr) += -Ith_Vbep;	-Ith_Vbep	official_base_unchanged
STAMP_ITH_VBEP_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1485	                *(here->VBICtempBaseBPPtr) += +Ith_Vbep;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBPNode	*(here->VBICtempBaseBPPtr) += +Ith_Vbep;	+Ith_Vbep	official_base_unchanged
STAMP_ITH_VBCP_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1486	                *(here->VBICtempSubsPtr)   += -Ith_Vbcp;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICsubsNode	*(here->VBICtempSubsPtr) += -Ith_Vbcp;	-Ith_Vbcp	official_base_unchanged
STAMP_ITH_VBCP_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1487	                *(here->VBICtempBaseBPPtr) += +Ith_Vbcp;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBPNode	*(here->VBICtempBaseBPPtr) += +Ith_Vbcp;	+Ith_Vbcp	official_base_unchanged
STAMP_ITH_VCEP_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1488	                *(here->VBICtempBaseBXPtr) += -Ith_Vcep;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBXNode	*(here->VBICtempBaseBXPtr) += -Ith_Vcep;	-Ith_Vcep	official_base_unchanged
STAMP_ITH_VCEP_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1489	                *(here->VBICtempSubsPtr)   += +Ith_Vcep;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICsubsNode	*(here->VBICtempSubsPtr) += +Ith_Vcep;	+Ith_Vcep	official_base_unchanged
STAMP_ITH_VRCI_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1490	                *(here->VBICtempCollCXPtr) += -Ith_Vrci;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICcollCXNode	*(here->VBICtempCollCXPtr) += -Ith_Vrci;	-Ith_Vrci	official_base_unchanged
STAMP_ITH_VRCI_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1491	                *(here->VBICtempCollCIPtr) += +Ith_Vrci;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICcollCINode	*(here->VBICtempCollCIPtr) += +Ith_Vrci;	+Ith_Vrci	official_base_unchanged
STAMP_ITH_VBCX_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1492	                *(here->VBICtempBaseBIPtr) += -Ith_Vbcx;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBINode	*(here->VBICtempBaseBIPtr) += -Ith_Vbcx;	-Ith_Vbcx	official_base_unchanged
STAMP_ITH_VBCX_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1493	                *(here->VBICtempCollCXPtr) += +Ith_Vbcx;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICcollCXNode	*(here->VBICtempCollCXPtr) += +Ith_Vbcx;	+Ith_Vbcx	official_base_unchanged
STAMP_ITH_VRBI_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1494	                *(here->VBICtempBaseBXPtr) += -Ith_Vrbi;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBXNode	*(here->VBICtempBaseBXPtr) += -Ith_Vrbi;	-Ith_Vrbi	official_base_unchanged
STAMP_ITH_VRBI_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1495	                *(here->VBICtempBaseBIPtr) += +Ith_Vrbi;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBINode	*(here->VBICtempBaseBIPtr) += +Ith_Vrbi;	+Ith_Vrbi	official_base_unchanged
STAMP_ITH_VRBP_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1496	                *(here->VBICtempBaseBPPtr) += -Ith_Vrbp;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBPNode	*(here->VBICtempBaseBPPtr) += -Ith_Vrbp;	-Ith_Vrbp	official_base_unchanged
STAMP_ITH_VRBP_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1497	                *(here->VBICtempCollCXPtr) += +Ith_Vrbp;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICcollCXNode	*(here->VBICtempCollCXPtr) += +Ith_Vrbp;	+Ith_Vrbp	official_base_unchanged
STAMP_ITH_VRCX_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1498	                *(here->VBICtempCollPtr)   += -Ith_Vrcx;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICcollNode	*(here->VBICtempCollPtr) += -Ith_Vrcx;	-Ith_Vrcx	official_base_unchanged
STAMP_ITH_VRCX_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1499	                *(here->VBICtempCollCXPtr) += +Ith_Vrcx;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICcollCXNode	*(here->VBICtempCollCXPtr) += +Ith_Vrcx;	+Ith_Vrcx	official_base_unchanged
STAMP_ITH_VRBX_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1500	                *(here->VBICtempBasePtr)   += -Ith_Vrbx;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseNode	*(here->VBICtempBasePtr) += -Ith_Vrbx;	-Ith_Vrbx	official_base_unchanged
STAMP_ITH_VRBX_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1501	                *(here->VBICtempBaseBXPtr) += +Ith_Vrbx;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICbaseBXNode	*(here->VBICtempBaseBXPtr) += +Ith_Vrbx;	+Ith_Vrbx	official_base_unchanged
STAMP_ITH_VRE_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1502	                *(here->VBICtempEmitPtr)   += -Ith_Vre;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICemitNode	*(here->VBICtempEmitPtr) += -Ith_Vre;	-Ith_Vre	official_base_unchanged
STAMP_ITH_VRE_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1503	                *(here->VBICtempEmitEIPtr) += +Ith_Vre;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICemitEINode	*(here->VBICtempEmitEIPtr) += +Ith_Vre;	+Ith_Vre	official_base_unchanged
STAMP_ITH_VRS_1	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1504	                *(here->VBICtempSubsPtr)   += -Ith_Vrs;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICsubsNode	*(here->VBICtempSubsPtr) += -Ith_Vrs;	-Ith_Vrs	official_base_unchanged
STAMP_ITH_VRS_2	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1505	                *(here->VBICtempSubsSIPtr) += +Ith_Vrs;	if (here->VBIC_selfheat) block; Ith element	VBICtempNode	VBICsubsSINode	*(here->VBICtempSubsSIPtr) += +Ith_Vrs;	+Ith_Vrs	official_base_unchanged
STAMP_XF1_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1508	                    rhs_current = -Ixf1_Vrth*Vrth;	if (here->VBIC_excessPhase) block (1465-1471)	N/A	N/A	rhs_current = -Ixf1_Vrth*Vrth;	Ixf1_Vrth	official_base_unchanged
STAMP_XF1_RHS_NODE	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1509	                    *(ckt->CKTrhs + here->VBICxf1Node) += -rhs_current;	if (here->VBIC_excessPhase) block	VBICxf1Node	N/A	*(ckt->CKTrhs + here->VBICxf1Node) += -rhs_current;	Ixf1_Vrth term	official_base_unchanged
STAMP_XF1_TEMPCOL	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1511	                    *(here->VBICxf1TempPtr)            +=  Ixf1_Vrth;	if (here->VBIC_excessPhase) block	VBICxf1Node	VBICtempNode	*(here->VBICxf1TempPtr)            +=  Ixf1_Vrth;	Ixf1_Vrth (temp-column stamp)	official_base_unchanged
STAMP_GUARD_CLOSE	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1513	            }	closes selfheat stamping block	N/A	N/A	}	block close	official_base_unchanged
COLSTAMP_Ibe_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1342	                rhs_current = -Ibe_Vrth*Vrth;	if (here->VBIC_selfheat) block; Ibe element	N/A	N/A	                rhs_current = -Ibe_Vrth*Vrth;	Ibe_Vrth	official_base_unchanged
COLSTAMP_Ibe_A	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1344	                *(here->VBICbaseBItempPtr) +=  Ibe_Vrth;	if (here->VBIC_selfheat) block; Ibe element	VBICbaseBINode	VBICtempNode	*(here->VBICbaseBItempPtr) += +;	Ibe_Vrth	official_base_unchanged
COLSTAMP_Ibe_B	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1346	                *(here->VBICemitEItempPtr) += -Ibe_Vrth;	if (here->VBIC_selfheat) block; Ibe element	VBICemitEINode	VBICtempNode	*(here->VBICemitEItempPtr) += -;	Ibe_Vrth	official_base_unchanged
COLSTAMP_Ibex_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1350	                rhs_current = -Ibex_Vrth*Vrth;	if (here->VBIC_selfheat) block; Ibex element	N/A	N/A	                rhs_current = -Ibex_Vrth*Vrth;	Ibex_Vrth	official_base_unchanged
COLSTAMP_Ibex_A	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1352	                *(here->VBICbaseBXtempPtr) +=  Ibex_Vrth;	if (here->VBIC_selfheat) block; Ibex element	VBICbaseBXNode	VBICtempNode	*(here->VBICbaseBXtempPtr) += ;	Ibex_Vrth	official_base_unchanged
COLSTAMP_Ibex_B	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1354	                *(here->VBICemitEItempPtr) += -Ibex_Vrth;	if (here->VBIC_selfheat) block; Ibex element	VBICemitEINode	VBICtempNode	*(here->VBICemitEItempPtr) += -;	Ibex_Vrth	official_base_unchanged
COLSTAMP_Iciei_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1359	                rhs_current = -Iciei_Vrth*Vrth;	if (here->VBIC_selfheat) block; Iciei element	N/A	N/A	                rhs_current = -Iciei_Vrth*Vrth;	Iciei_Vrth	official_base_unchanged
COLSTAMP_Iciei_A	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1361	                *(here->VBICcollCItempPtr) +=  Iciei_Vrth;	if (here->VBIC_selfheat) block; Iciei element	VBICcollCINode	VBICtempNode	*(here->VBICcollCItempPtr) += +;	Iciei_Vrth	official_base_unchanged
COLSTAMP_Iciei_B	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1363	                *(here->VBICemitEItempPtr) += -Iciei_Vrth;	if (here->VBIC_selfheat) block; Iciei element	VBICemitEINode	VBICtempNode	*(here->VBICemitEItempPtr) += -;	Iciei_Vrth	official_base_unchanged
COLSTAMP_Ibc_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1367	                rhs_current = -Ibc_Vrth*Vrth;	if (here->VBIC_selfheat) block; Ibc element	N/A	N/A	                rhs_current = -Ibc_Vrth*Vrth;	Ibc_Vrth	official_base_unchanged
COLSTAMP_Ibc_A	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1369	                *(here->VBICbaseBItempPtr) +=  Ibc_Vrth;	if (here->VBIC_selfheat) block; Ibc element	VBICbaseBINode	VBICtempNode	*(here->VBICbaseBItempPtr) += +;	Ibc_Vrth	official_base_unchanged
COLSTAMP_Ibc_B	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1371	                *(here->VBICcollCItempPtr) += -Ibc_Vrth;	if (here->VBIC_selfheat) block; Ibc element	VBICcollCINode	VBICtempNode	*(here->VBICcollCItempPtr) += -;	Ibc_Vrth	official_base_unchanged
COLSTAMP_Ibep_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1375	                rhs_current = -Ibep_Vrth*Vrth;	if (here->VBIC_selfheat) block; Ibep element	N/A	N/A	                rhs_current = -Ibep_Vrth*Vrth;	Ibep_Vrth	official_base_unchanged
COLSTAMP_Ibep_A	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1377	                *(here->VBICbaseBXtempPtr) +=  Ibep_Vrth;	if (here->VBIC_selfheat) block; Ibep element	VBICbaseBXNode	VBICtempNode	*(here->VBICbaseBXtempPtr) += ;	Ibep_Vrth	official_base_unchanged
COLSTAMP_Ibep_B	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1379	                *(here->VBICbaseBPtempPtr) += -Ibep_Vrth;	if (here->VBIC_selfheat) block; Ibep element	VBICbaseBPNode	VBICtempNode	*(here->VBICbaseBPtempPtr) += -;	Ibep_Vrth	official_base_unchanged
COLSTAMP_Rcx_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1383	                rhs_current = -Ircx_Vrth * Vrth;	if (here->VBIC_selfheat) block; Rcx element	N/A	N/A	                rhs_current = -Ircx_Vrth * Vrth;	Rcx_Vrth	official_base_unchanged
COLSTAMP_Rcx_A	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1385	                *(here->VBICcollTempPtr)   +=  Ircx_Vrth;	if (here->VBIC_selfheat) block; Rcx element	VBICcollNode	VBICtempNode	*(here->VBICcollTempPtr) += ;	Rcx_Vrth	official_base_unchanged
COLSTAMP_Rcx_B	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1387	                *(here->VBICcollCXtempPtr) += -Ircx_Vrth;	if (here->VBIC_selfheat) block; Rcx element	VBICcollCXNode	VBICtempNode	*(here->VBICcollCXtempPtr) += -;	Rcx_Vrth	official_base_unchanged
COLSTAMP_Rci_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1391	                rhs_current = -Irci_Vrth*Vrth;	if (here->VBIC_selfheat) block; Rci element	N/A	N/A	                rhs_current = -Irci_Vrth*Vrth;	Rci_Vrth	official_base_unchanged
COLSTAMP_Rci_A	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1393	                *(here->VBICcollCXtempPtr) +=  Irci_Vrth;	if (here->VBIC_selfheat) block; Rci element	VBICcollCXNode	VBICtempNode	*(here->VBICcollCXtempPtr) += ;	Rci_Vrth	official_base_unchanged
COLSTAMP_Rci_B	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1395	                *(here->VBICcollCItempPtr) += -Irci_Vrth;	if (here->VBIC_selfheat) block; Rci element	VBICcollCINode	VBICtempNode	*(here->VBICcollCItempPtr) += -;	Rci_Vrth	official_base_unchanged
COLSTAMP_Rbx_RHS	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1399	                rhs_current = -Irbx_Vrth * Vrth;	if (here->VBIC_selfheat) block; Rbx element	N/A	N/A	                rhs_current = -Irbx_Vrth * Vrth;	Rbx_Vrth	official_base_unchanged
COLSTAMP_Rbx_A	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1401	                *(here->VBICbaseTempPtr)   +=  Irbx_Vrth;	if (here->VBIC_selfheat) block; Rbx element	VBICbaseNode	VBICtempNode	*(here->VBICbaseTempPtr) += ;	Rbx_Vrth	official_base_unchanged
COLSTAMP_Rbx_B	vbicload.c	b3abd28a43ee30204673eb1ea6f6fd5de0b049e2e03de168b25b94a2f86e2dcf	1403	                *(here->VBICbaseBXtempPtr) += -Irbx_Vrth;	if (here->VBIC_selfheat) block; Rbx element	VBICbaseBXNode	VBICtempNode	*(here->VBICbaseBXtempPtr) += -;	Rbx_Vrth	official_base_unchanged
